Filename,Count,CatchQuantity,CatchRecoverability,CatchSLOC,FlowHandlingActions,FlowHandlingStrategy,FlowQuantity,Invoked Methods,Try Quantity,5,TrySLOC
VisitedResourceRequestTracker.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
View.java,130,2,2,6,2,0.0,2.0,4.0,2,2.0,10
VersionPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
Version.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
VerificationException.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
VEDeviceDiscoverer.java,101,1,1,3,1,2.0,1.0,38.0,3,6.0,43
VariableContext.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
ValueConverter.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
ValidationVolumeCapabilitiesResponseProtoTranslator.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
ValidateVolumeEvent.java,0,0,0,0,0,8.0,0.0,0.0,0,0.0,0
ValidateVolumeCapabilitiesResponsePBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
ValidateVolumeCapabilitiesResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
ValidateVolumeCapabilitiesRequestProtoTranslator.java,0,0,0,0,0,1.0,0.0,0.0,0,8.0,0
ValidateVolumeCapabilitiesRequestPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
ValidateVolumeCapabilitiesRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UTCClock.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
UseSharedCacheResourceResponsePBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
UseSharedCacheResourceResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
UseSharedCacheResourceRequestPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
UseSharedCacheResourceRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
UserWeights.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
UsersManager.java,0,0,0,0,0,0.0,0.0,156.0,24,4.0,345
UsersInfo.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
UserSettings.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UserPlacementRule.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
UserMetricsInfo.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
UserInfo.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UserEntity.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
UsageException.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
URLPBImpl.java,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0
URL.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
UpgradeComponentsFinder.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UpdateReservationHomeSubClusterResponsePBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
UpdateReservationHomeSubClusterResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
UpdateReservationHomeSubClusterRequestPBImpl.java,0,0,0,0,0,1.0,0.0,0.0,0,3.0,0
UpdateReservationHomeSubClusterRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
UpdateNodeToLabelsMappingsEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
UpdateNodeResourceResponsePBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UpdateNodeResourceResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
UpdateNodeResourceRequestPBImpl.java,0,0,0,0,0,2.0,0.0,0.0,0,1.0,0
UpdateNodeResourceRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
UpdatedContainerPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
UpdatedContainerInfo.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UpdatedContainer.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UpdateContainerTokenEvent.java,0,0,0,0,0,1.0,0.0,0.0,0,1.0,0
UpdateContainerSchedulerEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
UpdateContainerRequestPBImpl.java,0,0,0,0,0,2.0,0.0,0.0,0,2.0,0
UpdateContainerRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UpdateContainerErrorPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
UpdateContainerError.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
UpdateApplicationTimeoutsResponsePBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
UpdateApplicationTimeoutsResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
UpdateApplicationTimeoutsRequestPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
UpdateApplicationTimeoutsRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UpdateApplicationPriorityResponsePBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
UpdateApplicationPriorityResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UpdateApplicationPriorityRequestPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UpdateApplicationPriorityRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
UpdateApplicationHomeSubClusterResponsePBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
UpdateApplicationHomeSubClusterResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UpdateApplicationHomeSubClusterRequestPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
UpdateApplicationHomeSubClusterRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UnsupportedPropertyException.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
UnRegisterNodeManagerResponsePBImpl.java,0,0,0,0,0,1.0,0.0,0.0,0,9.0,0
UnRegisterNodeManagerResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
UnRegisterNodeManagerRequestPBImpl.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
UnRegisterNodeManagerRequest.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
UnmanagedApplicationManager.java,161,1,0,3,1,0.0,1.0,11.0,2,7.0,30
UnmanagedAMPoolManager.java,1129,6,2,22,6,0.0,6.0,37.0,7,6.0,77
UnmanagedAMLauncher.java,953,10,1,30,10,0.0,9.0,67.0,11,0.0,149
UnknownSubclusterException.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UnitsConversionUtil.java,782,1,0,17,1,0.0,1.0,22.0,1,4.0,25
UniformRandomRouterPolicy.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
UniformBroadcastPolicyManager.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
UdevUtil.java,0,0,0,0,0,0.0,0.0,6.0,1,8.0,22
TypedBufferedMutator.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TwoColumnLayout.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TwoColumnCssLayout.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TryManyReservationAgents.java,136,2,0,6,2,0.0,2.0,2.0,2,0.0,14
TrafficController.java,1240,5,4,19,5,2.0,5.0,19.0,6,1.0,76
TrafficControlBandwidthHandlerImpl.java,226,1,1,4,1,0.0,1.0,3.0,1,6.0,8
TrackingUriPlugin.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TopCLI.java,1245,12,0,43,12,0.0,11.0,35.0,12,1.0,95
TokenPBImpl.java,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0
Token.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
ToJSON.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimestampGenerator.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
Times.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineWriteResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TimelineWriter.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineWriter.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineWriter.java,329,2,3,12,2,0.0,1.0,4.0,1,4.0,17
TimelineWebServices.java,2441,16,15,58,16,0.0,8.0,48.0,8,2.0,103
TimelineV2DelegationTokenSecretManagerService.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineV2ClientImpl.java,2193,14,9,56,14,0.0,10.0,56.0,11,0.0,137
TimelineV2Client.java,0,0,0,0,0,1.0,0.0,0.0,0,8.0,0
TimelineV1DelegationTokenSecretManagerService.java,532,5,0,15,5,0.0,5.0,15.0,5,4.0,35
TimelineUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
TimelineUIDConverter.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
TimelineStoreTestUtils.java,70,1,1,3,1,0.0,1.0,1.0,1,8.0,5
TimelineStoreMapAdapter.java,0,0,0,0,0,1.0,0.0,0.0,0,7.0,0
TimelineStore.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineStorageUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineStorageMonitor.java,196,1,0,4,1,0.0,1.0,7.0,1,7.0,12
TimelineStateStore.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineServiceV2Publisher.java,252,2,0,7,2,0.0,1.0,11.0,1,4.0,22
TimelineServiceV1Publisher.java,746,5,0,17,5,0.0,5.0,32.0,6,7.0,62
TimelineServiceHelper.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineServerUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineSchemaCreator.java,248,2,1,6,2,0.0,2.0,8.0,2,6.0,22
TimelineReaderWhitelistAuthorizationFilterInitializer.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineReaderWhitelistAuthorizationFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineReaderWebServicesUtils.java,118,1,1,3,1,0.0,1.0,6.0,2,1.0,10
TimelineReaderWebServices.java,2167,16,1,48,16,0.0,16.0,159.0,16,8.0,371
TimelineReaderUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineReaderServer.java,616,5,3,17,5,0.0,5.0,33.0,5,4.0,60
TimelineReaderMetrics.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineReaderManager.java,61,1,0,3,1,1.0,1.0,1.0,1,3.0,5
TimelineReaderContext.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineReaderClientImpl.java,0,0,0,0,0,2.0,0.0,0.0,0,8.0,0
TimelineReaderClient.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineReaderAuthenticationFilterInitializer.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineReader.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineReader.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelinePutResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelinePrefixFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
TimelinePolicyProvider.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineParserForRelationFilters.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineParserForNumericFilters.java,96,1,1,3,1,0.0,1.0,1.0,1,0.0,5
TimelineParserForKVFilters.java,56,1,0,3,1,0.0,1.0,1.0,1,9.0,5
TimelineParserForExistFilters.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineParserForEqualityExpr.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineParserForDataToRetrieve.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineParserForCompareExpr.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TimelineParser.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TimelineParseException.java,0,0,0,0,0,2.0,0.0,0.0,0,7.0,0
TimelineParseConstants.java,0,0,0,0,0,1.0,0.0,0.0,0,0.0,0
TimelineMetricSubDoc.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineMetricOperation.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineMetricCalculator.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TimelineMetric.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineKeyValuesFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
TimelineKeyValueFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineHealth.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineHBaseSchemaConstants.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineFromIdConverter.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TimelineFilterUtils.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineFilterList.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineExistsFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineEventSubDoc.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineEvents.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineEvent.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TimelineEntityV2Converter.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TimelineEntityType.java,0,0,0,0,0,1.0,0.0,0.0,0,4.0,0
TimelineEntityReaderFactory.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineEntityReader.java,0,0,0,0,0,0.0,0.0,5.0,1,1.0,15
TimelineEntityGroupPlugin.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TimelineEntityGroupId.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineEntityFiltersType.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineEntityFilters.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TimelineEntityDocument.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineEntity.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineEntity.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineEntities.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
TimelineEntities.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineDomains.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineDomain.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineDomain.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineDocument.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineDelgationTokenSecretManagerService.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
TimelineDelegationTokenSelector.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TimelineDelegationTokenResponse.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TimelineDelegationTokenOperation.java,0,0,0,0,0,1.0,0.0,0.0,0,7.0,0
TimelineDelegationTokenIdentifierData.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimelineDelegationTokenIdentifier.java,134,2,2,6,2,0.0,2.0,8.0,2,7.0,20
TimelineDataToRetrieve.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineDataManagerMetrics.java,0,0,0,0,0,7.0,0.0,0.0,0,5.0,0
TimelineDataManager.java,1166,3,0,17,3,0.0,3.0,70.0,10,6.0,120
TimelineContext.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TimelineConnector.java,1139,8,7,34,8,0.0,6.0,14.0,6,8.0,49
TimelineCompareOp.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineCompareFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
TimelineCollectorWebService.java,973,7,5,25,7,0.0,4.0,36.0,4,7.0,84
TimelineCollectorManager.java,428,3,2,9,3,0.0,3.0,13.0,3,5.0,38
TimelineCollectorContext.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TimelineCollector.java,633,4,3,15,4,0.0,4.0,16.0,4,0.0,51
TimelineCollectionWriter.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineCollectionReader.java,0,0,0,0,0,0.0,0.0,0.0,0,5.0,0
TimelineClientImpl.java,451,4,0,15,4,0.0,3.0,42.0,3,9.0,61
TimelineClient.java,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0
TimelineAuthenticationFilterInitializer.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TimelineAuthenticationFilter.java,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0
TimelineAuthenticationConsts.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
TimelineAggregationTrack.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TimelineACLsManager.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TimelineAbout.java,0,0,0,0,0,0.0,0.0,0.0,0,7.0,0
TimedHealthReporterService.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
TimeBucketMetrics.java,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0
TFileAggregatedLogsBlock.java,581,5,1,19,5,0.0,4.0,91.0,4,3.0,153
TextView.java,0,0,0,0,0,0.0,0.0,0.0,0,9.0,0
TextPage.java,0,0,0,0,0,0.0,0.0,0.0,0,8.0,0
TestZookeeperFederationStateStore.java,328,5,4,15,5,0.0,5.0,26.0,5,8.0,52
TestZKRMStateStoreZKClientConnections.java,445,5,1,16,5,1.0,4.0,10.0,4,7.0,28
TestZKRMStateStorePerf.java,766,6,0,24,6,0.0,6.0,31.0,6,7.0,51
TestZKRMStateStore.java,101,1,0,3,1,0.0,1.0,2.0,1,3.0,5
TestZKConfigurationStore.java,0,0,0,0,0,0.0,0.0,4.0,1,5.0,7
TestZKClient.java,287,6,0,14,6,0.0,6.0,24.0,7,4.0,58
TestYSCRPCFactories.java,339,3,0,12,3,0.0,3.0,26.0,3,0.0,39
TestYSCRecordFactory.java,110,1,0,4,1,0.0,1.0,5.0,1,5.0,7
TestYarnVersionInfo.java,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0
TestYarnUncaughtExceptionHandler.java,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0
TestYARNTokenIdentifier.java,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0
