CatchAndDoNothing,CatchAndReturnNull,CatchLOC,CatchQuantity,CatchRecoverability,CatchSLOC,DummyCatch,ExceptionHandlingStrategy,FlowHandlingActions,FlowQuantity,IncompleteImplementation,Invoked Methods,LogAndThrow,OverCatch,ThrowKitchenSink,Try Quantity,5,TrySLOC
13.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,9.0,3.0,0,2.0,0
172.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,8.0,1.0,0,6.0,0
25.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,5.0,0,4.0,0
12.0,9.0,130,2,2,6,2,0.0,2,2.0,0.0,4.0,1.0,1.0,9.0,2,2.0,10
1.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,6.0,3.0,0,0.0,0
7.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0,3.0,0
14.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,6.0,0,3.0,0
8.0,5.0,101,1,1,3,1,2.0,1,1.0,0.0,38.0,6.0,8.0,5.0,3,6.0,43
104.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,4.0,0,2.0,0
152.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,5.0,0,0.0,0
0.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,7.0,3.0,0,2.0,0
33.0,9.0,0,0,0,0,0,8.0,0,0.0,0.0,0.0,0.0,2.0,4.0,0,0.0,0
2.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,6.0,7.0,0,3.0,0
21.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,7.0,8.0,0,1.0,0
12.0,2.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,6.0,4.0,6.0,0,8.0,0
62.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,9.0,1.0,0,9.0,0
103.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,3.0,5.0,0,2.0,0
6.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,9.0,0,1.0,0
13.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,9.0,0.0,0,6.0,0
15.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,5.0,6.0,0,0.0,0
3.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,8.0,0,5.0,0
0.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,7.0,5.0,0,0.0,0
28.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,4.0,7.0,0,1.0,0
69.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,156.0,6.0,7.0,9.0,24,4.0,345
153.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,1.0,1.0,0,1.0,0
0.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,8.0,0,2.0,0
44.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,7.0,8.0,0,9.0,0
147.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,2.0,2.0,0,4.0,0
1.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,4.0,8.0,0,2.0,0
14.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,5.0,8.0,0,6.0,0
0.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0,5.0,0
0.0,8.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,8.0,7.0,0,0.0,0
2.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,7.0,5.0,0,6.0,0
147.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0,7.0,0
44.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,1.0,4.0,0,4.0,0
25.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,7.0,4.0,0,8.0,0
7.0,3.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,6.0,2.0,1.0,0,3.0,0
44.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,6.0,0,4.0,0
0.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,1.0,7.0,0,1.0,0
2.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,6.0,9.0,0,2.0,0
17.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0,0,9.0,0
28.0,6.0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,1.0,8.0,4.0,0,1.0,0
14.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,5.0,0,9.0,0
6.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,3.0,0,1.0,0
28.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0,2.0,0
152.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,6.0,0,7.0,0
0.0,8.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,6.0,2.0,4.0,0,1.0,0
9.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,7.0,5.0,0,0.0,0
5.0,3.0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,6.0,2.0,9.0,0,2.0,0
5.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,0,7.0,0
5.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,4.0,3.0,0,4.0,0
0.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,2.0,0,3.0,0
0.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,8.0,9.0,0,0.0,0
44.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,8.0,2.0,0,3.0,0
2.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,4.0,0,0.0,0
44.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,9.0,0,7.0,0
30.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,1.0,0,5.0,0
175.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,5.0,0,2.0,0
0.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,6.0,8.0,0,7.0,0
122.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,3.0,0
12.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,4.0,0,0.0,0
10.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,2.0,5.0,0,7.0,0
1.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,8.0,0,0.0,0
42.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,7.0,5.0,0,2.0,0
48.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,8.0,2.0,0,8.0,0
44.0,3.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0,9.0,0
9.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,3.0,0.0,0,6.0,0
145.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,4.0,0,8.0,0
42.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.0,0,1.0,0
180.0,2.0,161,1,0,3,1,0.0,1,1.0,0.0,11.0,6.0,5.0,4.0,2,7.0,30
47.0,9.0,1129,6,2,22,2,0.0,6,6.0,0.0,37.0,0.0,9.0,8.0,7,6.0,77
16.0,4.0,953,10,1,30,9,0.0,10,9.0,0.0,67.0,0.0,2.0,9.0,11,0.0,149
147.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,1.0,3.0,0,7.0,0
189.0,7.0,782,1,0,17,0,0.0,1,1.0,0.0,22.0,0.0,7.0,6.0,1,4.0,25
28.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,1.0,1.0,0,7.0,0
5.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0,2.0,0
14.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,6.0,0.0,7.0,8.0,1,8.0,22
189.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,1.0,0,0.0,0
2.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,7.0,8.0,0,0.0,0
28.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,1.0,7.0,0,9.0,0
3.0,3.0,136,2,0,6,2,0.0,2,2.0,0.0,2.0,0.0,7.0,9.0,2,0.0,14
39.0,6.0,1240,5,4,19,1,2.0,5,5.0,0.0,19.0,0.0,2.0,0.0,6,1.0,76
42.0,7.0,226,1,1,4,0,0.0,1,1.0,0.0,3.0,0.0,5.0,3.0,1,6.0,8
104.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,6.0,8.0,0,6.0,0
10.0,4.0,1245,12,0,43,4,0.0,12,11.0,0.0,35.0,6.0,5.0,8.0,12,1.0,95
36.0,2.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0
12.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,0,5.0,0
2.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,6.0,0,9.0,0
268.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,3.0,0,3.0,0
309.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,9.0,0
1.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,8.0,2.0,0,3.0,0
7.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,0.0,0.0,0,5.0,0
147.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,9.0,5.0,0,5.0,0
311.0,2.0,329,2,3,12,1,0.0,2,1.0,0.0,4.0,0.0,9.0,9.0,1,4.0,17
50.0,3.0,2441,16,15,58,6,0.0,16,8.0,0.0,48.0,6.0,8.0,9.0,8,2.0,103
28.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,9.0,0,8.0,0
57.0,9.0,2193,14,9,56,6,0.0,14,10.0,0.0,56.0,0.0,8.0,9.0,11,0.0,137
0.0,8.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0
12.0,5.0,532,5,0,15,5,0.0,5,5.0,0.0,15.0,1.0,3.0,7.0,5,4.0,35
42.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,8.0,7.0,0,4.0,0
147.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,7.0,9.0,0,7.0,0
116.0,6.0,70,1,1,3,1,0.0,1,1.0,0.0,1.0,6.0,9.0,2.0,1,8.0,5
14.0,5.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,6.0,4.0,0,7.0,0
0.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,3.0,6.0,0,5.0,0
180.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0,9.0,0
0.0,5.0,196,1,0,4,0,0.0,1,1.0,0.0,7.0,6.0,3.0,2.0,1,7.0,12
276.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,4.0,0,2.0,0
0.0,9.0,252,2,0,7,1,0.0,2,1.0,0.0,11.0,0.0,7.0,1.0,1,4.0,22
273.0,5.0,746,5,0,17,3,0.0,5,5.0,0.0,32.0,0.0,8.0,6.0,6,7.0,62
0.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,2.0,0,6.0,0
0.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0,5.0,0
9.0,8.0,248,2,1,6,2,0.0,2,2.0,0.0,8.0,6.0,0.0,2.0,2,6.0,22
4.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,8.0,0
1.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,3.0,0,0.0,0
16.0,9.0,118,1,1,3,1,0.0,1,1.0,0.0,6.0,6.0,7.0,0.0,2,1.0,10
1.0,7.0,2167,16,1,48,16,0.0,16,16.0,0.0,159.0,1.0,6.0,8.0,16,8.0,371
0.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,6.0,4.0,0,8.0,0
199.0,3.0,616,5,3,17,3,0.0,5,5.0,0.0,33.0,6.0,3.0,7.0,5,4.0,60
306.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,6.0,0,0.0,0
1.0,8.0,61,1,0,3,1,1.0,1,1.0,0.0,1.0,6.0,8.0,2.0,1,3.0,5
49.0,4.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,3.0,7.0,0,5.0,0
28.0,9.0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,0.0,6.0,7.0,0,8.0,0
12.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,9.0,5.0,0,8.0,0
28.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,4.0,0.0,0,6.0,0
69.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,9.0,9.0,0,6.0,0
10.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,3.0,0,9.0,0
180.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,3.0,4.0,0,6.0,0
2.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,4.0,1.0,0,4.0,0
2.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,3.0,7.0,0,6.0,0
2.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,1.0,0,8.0,0
0.0,4.0,96,1,1,3,1,0.0,1,1.0,0.0,1.0,1.0,7.0,4.0,1,0.0,5
273.0,1.0,56,1,0,3,1,0.0,1,1.0,0.0,1.0,6.0,8.0,0.0,1,9.0,5
2.0,8.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,4.0,7.0,0,2.0,0
0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,4.0,0,2.0,0
13.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,6.0,1.0,0,0.0,0
25.0,9.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,0.0,5.0,0,1.0,0
0.0,2.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,7.0,9.0,0,1.0,0
145.0,8.0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,0.0,1.0,8.0,0,7.0,0
183.0,2.0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,6.0,7.0,9.0,0,0.0,0
12.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,7.0,5.0,0,6.0,0
14.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,4.0,3.0,0,9.0,0
0.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,9.0,0,3.0,0
37.0,6.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,8.0,0,9.0,0
7.0,3.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,6.0,5.0,8.0,0,7.0,0
16.0,5.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.0,6.0,0,6.0,0
149.0,7.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,4.0,6.0,0,2.0,0
1.0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,2.0,8.0,0,0.0,0
